0.48,-0.07
-0.44,-0.25
0.48,0.31
-0.16,-0.31
-0.4,-0.09
-0.01,0.34
0.22,0.39
0.08,-0.21
-0.43,-0.49
0.09,0.06
0.15,-0.16
0.24,-0.46
-0.29,-0.18
0.09,0.42
0.49,-0.25
0.11,-0.06
-0.37,0.02
0.1,-0.21
-0.04,-0.09
0.45,0.38
0.12,-0.37
-0.22,-0.02
0.1,-0.29
0.04,-0.45
0.45,-0.24
0.08,-0.32
0.39,0.1
-0.14,0.14
0.19,-0.48
-0.46,0.16
-0.29,-0.08
-0.3,0.34
0.29,-0.44
0.21,-0.29
-0.2,-0.22
0.33,0.16
-0.45,0.22
0.44,0.03
-0.43,-0.25
-0.07,-0.49
0.28,0.05
0.47,0.23
0.17,-0.06
0.05,0.03
-0.35,0.46
0.11,-0.06
-0.13,-0.21
0.16,-0.3
0.43,-0.07
0.19,0.05
